30.10,-26.10,-40.93
30.05,-26.10,-40.98
31.85,-22.55,-35.30
31.60,-24.85,-38.18
31.65,-24.95,-38.25
31.15,-23.95,-37.56
31.05,-25.90,-39.83
31.00,-23.60,-37.28
31.30,-23.20,-36.55
32.20,-24.40,-37.15
31.45,-25.55,-39.09
30.65,-25.65,-39.92
30.85,-24.35,-38.28
30.80,-24.40,-38.39
30.60,-25.60,-39.92
31.10,-24.90,-38.68
31.15,-25.10,-38.86
30.65,-22.55,-36.34
31.45,-25.35,-38.87
30.50,-24.90,-39.23
31.25,-22.25,-35.45
30.55,-22.45,-36.31
30.50,-24.10,-38.31
30.50,-23.20,-37.26
31.80,-25.00,-38.17
48.20,-0.65,-0.77
46.20,-0.20,-0.25
47.95,-0.80,-0.96
47.05,-1.85,-2.25
47.40,0.85,1.03
48.80,0.90,1.06
49.05,-0.60,-0.70
47.95,-0.60,-0.72
48.05,0.65,0.78
47.60,1.95,2.35
48.15,0.20,0.24
48.30,0.15,0.18
49.65,-0.85,-0.98
49.20,-0.35,-0.41
48.60,0.05,0.06
46.95,0.10,0.12
48.40,0.20,0.24
47.60,-0.95,-1.14
47.30,0.20,0.24
46.80,0.00,0.00
46.00,-1.70,-2.12
48.40,-0.50,-0.59
48.45,-0.60,-0.71
47.50,-0.85,-1.03
47.35,-0.55,-0.67
32.30,23.10,35.57
33.80,24.75,36.21
31.75,21.80,34.47
32.90,24.45,36.62
32.25,22.80,35.26
33.35,23.45,35.11
33.20,24.35,36.26
32.85,24.25,36.43
32.55,22.85,35.07
32.30,22.40,34.74
33.00,23.70,35.69
33.05,21.70,33.29
33.30,22.85,34.46
32.40,26.00,38.75
31.95,24.65,37.65
33.10,24.50,36.51
32.70,24.30,36.62
32.55,22.95,35.19
32.50,21.95,34.03
32.45,24.35,36.88
32.80,23.80,35.97
32.10,22.75,35.33
33.30,22.65,34.22
32.55,22.80,35.01
33.35,22.70,34.24
